game_id,player_id,player_name,team,period,minutes_remaining,seconds_remaining,shot_made,shot_type,shot_distance,loc_x,loc_y,shot_zone,action_type
0022300032,1628368,De'Aaron Fox,SAC,1,10,22,False,3PT Field Goal,27,142,231,Above the Break 3,Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,1,8,39,True,2PT Field Goal,8,-80,36,In The Paint (Non-RA),Driving Floating Bank Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,1,7,37,False,2PT Field Goal,3,-5,30,Restricted Area,Layup Shot
0022300032,1628368,De'Aaron Fox,SAC,1,3,24,True,2PT Field Goal,3,-33,15,Restricted Area,Driving Finger Roll Layup Shot
0022300032,1628368,De'Aaron Fox,SAC,2,7,30,False,3PT Field Goal,26,-205,162,Above the Break 3,Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,2,5,58,True,3PT Field Goal,23,-230,-10,Left Corner 3,Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,2,1,35,True,2PT Field Goal,14,-26,142,Mid-Range,Pullup Jump shot
0022300032,1628368,De'Aaron Fox,SAC,2,0,41,True,3PT Field Goal,24,-40,239,Above the Break 3,Pullup Jump shot
0022300032,1628368,De'Aaron Fox,SAC,2,0,3,True,3PT Field Goal,26,115,241,Above the Break 3,Step Back Jump shot
0022300032,1628368,De'Aaron Fox,SAC,3,11,2,False,3PT Field Goal,25,-100,236,Above the Break 3,Step Back Jump shot
0022300032,1628368,De'Aaron Fox,SAC,3,9,9,True,2PT Field Goal,8,2,86,In The Paint (Non-RA),Driving Floating Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,3,6,39,True,2PT Field Goal,1,-9,5,Restricted Area,Running Layup Shot
0022300032,1628368,De'Aaron Fox,SAC,3,5,14,True,2PT Field Goal,4,-44,11,In The Paint (Non-RA),Driving Finger Roll Layup Shot
0022300032,1628368,De'Aaron Fox,SAC,3,2,48,False,3PT Field Goal,25,-2,258,Above the Break 3,Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,3,1,49,True,2PT Field Goal,10,-54,92,In The Paint (Non-RA),Fadeaway Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,3,0,4,False,2PT Field Goal,2,-1,20,Restricted Area,Driving Finger Roll Layup Shot
0022300032,1628368,De'Aaron Fox,SAC,4,10,41,True,3PT Field Goal,24,-230,71,Left Corner 3,Step Back Jump shot
0022300032,1628368,De'Aaron Fox,SAC,4,9,49,False,3PT Field Goal,26,173,202,Above the Break 3,Running Pull-Up Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,4,7,15,True,3PT Field Goal,23,232,53,Right Corner 3,Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,4,5,48,False,2PT Field Goal,16,-47,159,Mid-Range,Pullup Jump shot
0022300032,1628368,De'Aaron Fox,SAC,4,4,50,False,3PT Field Goal,26,-113,241,Above the Break 3,Step Back Jump shot
0022300032,1628368,De'Aaron Fox,SAC,4,1,49,True,2PT Field Goal,15,-1,154,Mid-Range,Driving Floating Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,4,1,17,False,2PT Field Goal,15,-34,155,Mid-Range,Driving Floating Jump Shot
0022300032,1628368,De'Aaron Fox,SAC,4,0,50,True,2PT Field Goal,2,-21,5,Restricted Area,Driving Finger Roll Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,1,11,35,True,2PT Field Goal,1,5,16,Restricted Area,Driving Finger Roll Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,1,9,28,False,2PT Field Goal,20,-170,112,Mid-Range,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,1,7,23,False,3PT Field Goal,25,-189,165,Above the Break 3,Jump Shot
0022300050,1628368,De'Aaron Fox,SAC,1,6,24,False,2PT Field Goal,15,-60,143,Mid-Range,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,1,4,51,False,3PT Field Goal,24,140,206,Above the Break 3,Jump Shot
0022300050,1628368,De'Aaron Fox,SAC,2,9,40,True,2PT Field Goal,2,6,20,Restricted Area,Running Dunk Shot
0022300050,1628368,De'Aaron Fox,SAC,2,8,30,False,2PT Field Goal,7,-40,69,In The Paint (Non-RA),Step Back Jump shot
0022300050,1628368,De'Aaron Fox,SAC,2,6,31,False,2PT Field Goal,2,-20,8,Restricted Area,Driving Reverse Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,2,4,31,True,3PT Field Goal,24,-114,222,Above the Break 3,Step Back Jump shot
0022300050,1628368,De'Aaron Fox,SAC,2,3,35,True,3PT Field Goal,25,-48,250,Above the Break 3,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,2,3,8,False,2PT Field Goal,18,-121,139,Mid-Range,Step Back Jump shot
0022300050,1628368,De'Aaron Fox,SAC,2,1,59,False,2PT Field Goal,4,-2,42,In The Paint (Non-RA),Driving Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,3,10,35,False,2PT Field Goal,12,-32,118,In The Paint (Non-RA),Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,3,7,32,True,2PT Field Goal,2,-17,12,Restricted Area,Driving Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,3,6,38,True,3PT Field Goal,24,-152,187,Above the Break 3,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,3,6,9,False,2PT Field Goal,7,-56,53,In The Paint (Non-RA),Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,3,5,18,False,3PT Field Goal,25,-185,172,Above the Break 3,Step Back Jump shot
0022300050,1628368,De'Aaron Fox,SAC,3,4,24,True,2PT Field Goal,1,-9,8,Restricted Area,Running Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,3,0,6,True,2PT Field Goal,2,-13,26,Restricted Area,Driving Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,4,11,14,False,2PT Field Goal,7,-22,71,In The Paint (Non-RA),Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,9,56,True,2PT Field Goal,4,-42,17,In The Paint (Non-RA),Driving Finger Roll Layup Shot
0022300050,1628368,De'Aaron Fox,SAC,4,9,25,False,2PT Field Goal,8,33,74,In The Paint (Non-RA),Driving Floating Jump Shot
0022300050,1628368,De'Aaron Fox,SAC,4,7,56,True,2PT Field Goal,16,78,151,Mid-Range,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,7,30,False,2PT Field Goal,12,9,127,In The Paint (Non-RA),Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,6,36,False,2PT Field Goal,13,-50,124,In The Paint (Non-RA),Driving Floating Jump Shot
0022300050,1628368,De'Aaron Fox,SAC,4,5,54,True,2PT Field Goal,9,-51,77,In The Paint (Non-RA),Turnaround Fadeaway shot
0022300050,1628368,De'Aaron Fox,SAC,4,5,31,False,3PT Field Goal,25,116,227,Above the Break 3,Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,3,38,False,2PT Field Goal,12,-103,63,Mid-Range,Fadeaway Jump Shot
0022300050,1628368,De'Aaron Fox,SAC,4,3,16,False,2PT Field Goal,3,21,25,Restricted Area,Driving Hook Shot
0022300050,1628368,De'Aaron Fox,SAC,4,2,38,True,2PT Field Goal,13,-72,115,In The Paint (Non-RA),Pullup Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,0,46,True,2PT Field Goal,8,-23,80,In The Paint (Non-RA),Floating Jump shot
0022300050,1628368,De'Aaron Fox,SAC,4,0,1,True,2PT Field Goal,1,-10,9,Restricted Area,Running Finger Roll Layup Shot
0022300060,1628368,De'Aaron Fox,SAC,1,10,20,False,3PT Field Goal,25,186,174,Above the Break 3,Step Back Jump shot
0022300060,1628368,De'Aaron Fox,SAC,1,7,52,True,2PT Field Goal,12,60,115,In The Paint (Non-RA),Driving Floating Jump Shot
0022300060,1628368,De'Aaron Fox,SAC,1,6,50,False,3PT Field Goal,26,-147,217,Above the Break 3,Pullup Jump shot
0022300060,1628368,De'Aaron Fox,SAC,1,0,53,True,2PT Field Goal,3,-10,32,Restricted Area,Driving Layup Shot
